experiment_id,label,best_val_accuracy_mean,best_val_accuracy_std,test_accuracy_mean,test_accuracy_std,seeds
anchor,SGD momentum + WD + constant + BN/b128,0.8058000000000001,0.0005656854249492934,0.7992,0.00028284271247458785,2
norm_bn_b32,"BatchNorm, batch 32",0.8127,0.0007071067811865874,0.8051999999999999,0.0032526911934581135,2
norm_bn_b8,"BatchNorm, batch 8",0.6817,0.0024041630560342714,0.6735,0.00353553390593278,2
norm_gn_b128,"GroupNorm, batch 128",0.8096,0.00028284271247458785,0.80155,0.0045961940777125235,2
norm_gn_b32,"GroupNorm, batch 32",0.7653,0.02022325394193523,0.7627999999999999,0.027860007178750007,2
norm_gn_b8,"GroupNorm, batch 8",0.5408999999999999,0.009758073580374263,0.5471,0.012586500705120572,2
norm_ln_b128,"LayerNorm, batch 128",0.1048,0.0,0.1,0.0,2
norm_ln_b32,"LayerNorm, batch 32",0.1037,0.00155563491861041,0.1,0.0,2
norm_ln_b8,"LayerNorm, batch 8",0.1048,0.0,0.1,0.0,2
opt_adam,Adam,0.8351999999999999,0.0033941125496954076,0.8251999999999999,0.011172287142747359,2
opt_adamw,AdamW,0.8388,0.0014142135623730963,0.8347,0.004666904755831171,2
opt_nesterov,Nesterov,0.8067,0.0012727922061358025,0.80245,0.005161879502661856,2
opt_rmsprop,RMSProp,0.7859,0.006081118318204306,0.78615,0.015202795795510824,2
opt_sgd,SGD,0.8024,0.017536248173426333,0.79755,0.020435385976291288,2
reg_augmentation,Data augmentation,0.8767,0.02022325394193523,0.8714500000000001,0.012091525958289927,2
reg_combined,WD + Dropout 0.3 + augmentation + early stopping,0.8397,0.014849242404917433,0.84085,0.014637110370561491,2
reg_dropout_01,Dropout 0.1,0.7989999999999999,0.001979898987322311,0.79565,0.0038890872965259365,2
reg_dropout_03,Dropout 0.3,0.8106,0.00820243866176399,0.80265,0.013930003589375023,2
reg_dropout_05,Dropout 0.5,0.8104,0.01244507934888328,0.8032,0.021213203435596444,2
reg_early_stop,Early stopping,0.7754,0.005374011537017797,0.771,0.010323759005323556,2
reg_none,Không dùng regularizer khảo sát,0.8049,0.009758073580374263,0.79895,0.006717514421272207,2
sched_constant_warm,Constant + warm-up,0.8065,0.005232590180780503,0.80315,0.004171930009000642,2
sched_cosine,Cosine,0.8507,0.003818376618407407,0.8451,0.004242640687119289,2
sched_cosine_warm,Cosine + warm-up,0.8687,0.005232590180780464,0.8591500000000001,0.002192031021678252,2
sched_step,Step decay,0.842,0.012727922061357866,0.8384,0.004949747468305798,2
sched_step_warm,Step decay + warm-up,0.8652,0.0008485281374238814,0.86035,0.004171930009000524,2
