global_step,loss,learning_rate,epoch,experiment_id,label,branches,seed,notebook_version,debug
0,2.5690088272094727,0.1,1,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v2,False
20,2.6576666831970215,0.1,1,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v2,False
40,2.2884361743927,0.1,1,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v2,False
60,2.2431721687316895,0.1,1,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v2,False
80,2.2713820934295654,0.1,1,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v2,False
100,2.212615728378296,0.1,1,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v2,False
120,2.0920746326446533,0.1,1,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v2,False
140,2.1076271533966064,0.1,1,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v2,False
160,2.0981087684631348,0.1,1,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v2,False
180,2.051795244216919,0.1,1,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v2,False
200,2.0589213371276855,0.1,1,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v2,False
220,1.856265664100647,0.1,1,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v2,False
240,2.051377773284912,0.1,1,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v2,False
260,1.8777178525924683,0.1,1,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v2,False
280,1.834517478942871,0.1,1,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v2,False
300,1.8006389141082764,0.1,1,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v2,False
320,1.8582391738891602,0.1,1,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v2,False
340,1.6894265413284302,0.1,1,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v2,False
360,1.8305768966674805,0.1,2,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v2,False
380,1.8680524826049805,0.1,2,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v2,False
400,1.4755451679229736,0.1,2,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v2,False
420,1.6777640581130981,0.1,2,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v2,False
440,1.6621429920196533,0.1,2,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v2,False
460,1.6655302047729492,0.1,2,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v2,False
480,1.6618013381958008,0.1,2,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v2,False
500,1.5288541316986084,0.1,2,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v2,False
520,1.5167967081069946,0.1,2,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v2,False
540,1.7752375602722168,0.1,2,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v2,False
560,1.625013828277588,0.1,2,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v2,False
580,1.4584605693817139,0.1,2,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v2,False
600,1.5380065441131592,0.1,2,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v2,False
620,1.389209508895874,0.1,2,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v2,False
640,1.448338508605957,0.1,2,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v2,False
660,1.3511698246002197,0.1,2,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v2,False
680,1.5916639566421509,0.1,2,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v2,False
700,1.3613007068634033,0.1,2,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v2,False
720,1.387276530265808,0.1,3,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v2,False
740,1.4212843179702759,0.1,3,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v2,False
760,1.3595657348632812,0.1,3,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v2,False
780,1.3751765489578247,0.1,3,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v2,False
800,1.3003376722335815,0.1,3,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v2,False
