global_step,loss,learning_rate,epoch,experiment_id,label,branches,seed,notebook_version,debug
0,2.5689821243286133,0.1,1,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v1,False
20,2.8817431926727295,0.1,1,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v1,False
40,2.301480293273926,0.1,1,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v1,False
60,2.2704925537109375,0.1,1,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v1,False
80,2.303213596343994,0.1,1,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v1,False
100,2.222050428390503,0.1,1,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v1,False
120,2.143954038619995,0.1,1,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v1,False
140,2.0665793418884277,0.1,1,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v1,False
160,2.110252857208252,0.1,1,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v1,False
180,2.0664618015289307,0.1,1,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v1,False
200,2.0413620471954346,0.1,1,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v1,False
220,1.865044355392456,0.1,1,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v1,False
240,2.1041674613952637,0.1,1,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v1,False
260,1.9174671173095703,0.1,1,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v1,False
280,1.881312608718872,0.1,1,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v1,False
300,1.8486716747283936,0.1,1,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v1,False
320,1.8144898414611816,0.1,1,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v1,False
340,1.6966763734817505,0.1,1,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v1,False
360,1.746975064277649,0.1,2,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v1,False
380,1.9352858066558838,0.1,2,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v1,False
400,1.501405954360962,0.1,2,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v1,False
420,1.6508731842041016,0.1,2,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v1,False
440,1.6375973224639893,0.1,2,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v1,False
460,1.6537208557128906,0.1,2,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v1,False
480,1.5698511600494385,0.1,2,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v1,False
500,1.4518762826919556,0.1,2,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v1,False
520,1.426774263381958,0.1,2,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v1,False
540,1.7107648849487305,0.1,2,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v1,False
560,1.5912728309631348,0.1,2,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v1,False
580,1.4398999214172363,0.1,2,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v1,False
600,1.5250451564788818,0.1,2,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v1,False
620,1.2979912757873535,0.1,2,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v1,False
640,1.3987503051757812,0.1,2,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v1,False
660,1.2143771648406982,0.1,2,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v1,False
680,1.5419032573699951,0.1,2,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v1,False
700,1.2790366411209106,0.1,2,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v1,False
720,1.243939995765686,0.1,3,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v1,False
740,1.4869279861450195,0.1,3,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v1,False
760,1.3486627340316772,0.1,3,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v1,False
780,1.3180087804794312,0.1,3,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v1,False
800,1.2722547054290771,0.1,3,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v1,False
820,1.272947907447815,0.1,3,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v1,False
840,1.3687435388565063,0.1,3,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v1,False
860,1.3360390663146973,0.1,3,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v1,False
880,1.2856507301330566,0.1,3,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v1,False
900,1.3583654165267944,0.1,3,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v1,False
920,1.1276497840881348,0.1,3,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v1,False
940,1.366353154182434,0.1,3,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v1,False
960,1.2124693393707275,0.1,3,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v1,False
980,1.0827915668487549,0.1,3,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v1,False
1000,1.0303690433502197,0.1,3,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v1,False
1020,1.107231616973877,0.1,3,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v1,False
1040,1.234777569770813,0.1,3,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v1,False
1060,1.0969455242156982,0.1,4,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v1,False
1080,1.1089062690734863,0.1,4,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v1,False
1100,1.3952404260635376,0.1,4,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v1,False
1120,1.1905617713928223,0.1,4,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v1,False
1140,1.068862795829773,0.1,4,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v1,False
1160,0.9977837800979614,0.1,4,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v1,False
1180,0.9389350414276123,0.1,4,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v1,False
1200,0.9309700131416321,0.1,4,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v1,False
1220,0.9762908220291138,0.1,4,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v1,False
1240,0.7458087205886841,0.1,4,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v1,False
1260,0.9469274282455444,0.1,4,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v1,False
1280,1.0176286697387695,0.1,4,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v1,False
1300,1.0136994123458862,0.1,4,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v1,False
1320,0.9208520650863647,0.1,4,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v1,False
1340,0.7015767097473145,0.1,4,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v1,False
1360,0.9457668662071228,0.1,4,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v1,False
1380,1.0460233688354492,0.1,4,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v1,False
1400,1.046957015991211,0.1,4,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v1,False
1420,1.0373306274414062,0.1,5,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v1,False
1440,0.8133342862129211,0.1,5,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v1,False
1460,0.8889142274856567,0.1,5,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v1,False
1480,0.8961413502693176,0.1,5,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v1,False
1500,0.831628143787384,0.1,5,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v1,False
1520,0.7059447765350342,0.1,5,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v1,False
1540,0.913019061088562,0.1,5,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v1,False
1560,0.8791167736053467,0.1,5,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v1,False
1580,0.8602973222732544,0.1,5,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v1,False
1600,0.7870584726333618,0.1,5,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v1,False
1620,1.1289474964141846,0.1,5,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v1,False
1640,0.6623408794403076,0.1,5,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v1,False
1660,0.8863487243652344,0.1,5,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v1,False
1680,0.928451657295227,0.1,5,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v1,False
1700,1.0883244276046753,0.1,5,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v1,False
1720,0.6427730321884155,0.1,5,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v1,False
1740,1.018891453742981,0.1,5,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v1,False
1760,0.6968734264373779,0.1,6,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v1,False
1780,0.7137752771377563,0.1,6,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v1,False
1800,0.8789383172988892,0.1,6,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v1,False
1820,0.7333115339279175,0.1,6,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v1,False
1840,0.679481029510498,0.1,6,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v1,False
1860,0.7311042547225952,0.1,6,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v1,False
1880,0.8659927248954773,0.1,6,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v1,False
1900,0.7952530384063721,0.1,6,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v1,False
1920,0.8979887366294861,0.1,6,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v1,False
1940,0.7431821823120117,0.1,6,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v1,False
1960,0.6766250133514404,0.1,6,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v1,False
1980,0.5885058045387268,0.1,6,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v1,False
2000,0.896497368812561,0.1,6,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v1,False
2020,0.7992298603057861,0.1,6,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v1,False
2040,0.741284191608429,0.1,6,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v1,False
2060,0.7867729067802429,0.1,6,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v1,False
2080,0.7167346477508545,0.1,6,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v1,False
2100,0.7817720770835876,0.1,6,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v1,False
2120,0.6224980354309082,0.1,7,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v1,False
2140,0.6220967769622803,0.1,7,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v1,False
2160,0.5191694498062134,0.1,7,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v1,False
2180,0.7487303018569946,0.1,7,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v1,False
2200,0.5489444732666016,0.1,7,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v1,False
2220,0.6878767013549805,0.1,7,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v1,False
2240,0.622294008731842,0.1,7,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v1,False
2260,0.6516919732093811,0.1,7,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v1,False
2280,0.7355681657791138,0.1,7,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v1,False
2300,0.6565408706665039,0.1,7,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v1,False
2320,0.6332249641418457,0.1,7,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v1,False
2340,0.5722264051437378,0.1,7,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v1,False
2360,0.408100962638855,0.1,7,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v1,False
2380,0.6196860074996948,0.1,7,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v1,False
2400,0.7413467168807983,0.1,7,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v1,False
2420,0.6258641481399536,0.1,7,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v1,False
2440,0.5615749359130859,0.1,7,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v1,False
2460,0.6743309497833252,0.1,7,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v1,False
2480,0.4782368242740631,0.1,8,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v1,False
2500,0.48978346586227417,0.1,8,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v1,False
2520,0.5573452711105347,0.1,8,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v1,False
2540,0.42694714665412903,0.1,8,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v1,False
2560,0.4763086140155792,0.1,8,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v1,False
2580,0.5967797040939331,0.1,8,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v1,False
2600,0.47646114230155945,0.1,8,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v1,False
