experiment_id,label,branches,seed,optimizer,lr,momentum,weight_decay,schedule,warmup_epochs,step_size,gamma,min_lr,normalization,batch_size,dropout,augmentation,early_stopping,patience,epochs_budget,train_samples,val_samples,test_samples,best_val_accuracy,best_epoch,test_loss,test_accuracy,test_checkpoint_epoch,checkpoint_rule,final_train_accuracy,final_val_accuracy,epochs_completed,training_seconds,test_seconds,total_seconds,gpu,python_version,torch_version,torchvision_version,numpy_version,pandas_version,matplotlib_version,split_seed,debug,notebook_version,finished_at
anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,sgd_momentum,0.1,0.9,0.0005,constant,0,7,0.1,1e-05,batch,128,0.0,False,False,4,20,45000,5000,10000,0.8062,19,0.7061616035461425,0.799,19,max_val_accuracy,0.9408,0.7904,20,102.80010843276978,0.8004262447357178,103.6005346775055,NVIDIA L40S,3.11.15,2.13.0+cu130,0.28.0+cu130,2.4.6,3.0.5,3.11.1,4653,False,v2,2026-08-23T00:42:57
anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",2026,sgd_momentum,0.1,0.9,0.0005,constant,0,7,0.1,1e-05,batch,128,0.0,False,False,4,20,45000,5000,10000,0.8054,19,0.691831412601471,0.7994,19,max_val_accuracy,0.9420444444444445,0.7846,20,105.52417135238647,0.7928106784820557,106.31698203086853,NVIDIA L40S,3.11.15,2.13.0+cu130,0.28.0+cu130,2.4.6,3.0.5,3.11.1,4653,False,v2,2026-08-23T00:44:43
opt_sgd,SGD,optimizer,42,sgd,0.1,0.0,0.0005,constant,0,7,0.1,1e-05,batch,128,0.0,False,False,4,20,45000,5000,10000,0.79,19,1.0200385419845581,0.7831,19,max_val_accuracy,0.9989777777777777,0.771,20,102.5686993598938,0.7842996120452881,103.35299897193909,NVIDIA L40S,3.11.15,2.13.0+cu130,0.28.0+cu130,2.4.6,3.0.5,3.11.1,4653,False,v2,2026-08-23T00:46:27
opt_sgd,SGD,optimizer,2026,sgd,0.1,0.0,0.0005,constant,0,7,0.1,1e-05,batch,128,0.0,False,False,4,20,45000,5000,10000,0.8148,20,0.8801307114124298,0.812,20,max_val_accuracy,1.0,0.8148,20,102.79958748817444,0.8089125156402588,103.6085000038147,NVIDIA L40S,3.11.15,2.13.0+cu130,0.28.0+cu130,2.4.6,3.0.5,3.11.1,4653,False,v2,2026-08-23T00:48:11
opt_nesterov,Nesterov,optimizer,42,nesterov,0.1,0.9,0.0005,constant,0,7,0.1,1e-05,batch,128,0.0,False,False,4,20,45000,5000,10000,0.8058,16,0.6908253296852112,0.7988,16,max_val_accuracy,0.9441333333333334,0.805,20,103.84921932220459,0.7843484878540039,104.6335678100586,NVIDIA L40S,3.11.15,2.13.0+cu130,0.28.0+cu130,2.4.6,3.0.5,3.11.1,4653,False,v2,2026-08-23T00:49:56
opt_nesterov,Nesterov,optimizer,2026,nesterov,0.1,0.9,0.0005,constant,0,7,0.1,1e-05,batch,128,0.0,False,False,4,20,45000,5000,10000,0.8076,12,0.634023371219635,0.8061,12,max_val_accuracy,0.9426,0.7936,20,103.11782145500183,0.7920324802398682,103.9098539352417,NVIDIA L40S,3.11.15,2.13.0+cu130,0.28.0+cu130,2.4.6,3.0.5,3.11.1,4653,False,v2,2026-08-23T00:51:40
opt_rmsprop,RMSProp,optimizer,42,rmsprop,0.001,0.0,0.0005,constant,0,7,0.1,1e-05,batch,128,0.0,False,False,4,20,45000,5000,10000,0.7816,13,0.8183751198768616,0.7754,13,max_val_accuracy,0.9499333333333333,0.4666,20,104.35980534553528,0.7765040397644043,105.13630938529968,NVIDIA L40S,3.11.15,2.13.0+cu130,0.28.0+cu130,2.4.6,3.0.5,3.11.1,4653,False,v2,2026-08-23T00:53:25
opt_rmsprop,RMSProp,optimizer,2026,rmsprop,0.001,0.0,0.0005,constant,0,7,0.1,1e-05,batch,128,0.0,False,False,4,20,45000,5000,10000,0.7902,9,0.6451418141365052,0.7969,9,max_val_accuracy,0.9470222222222222,0.7562,20,105.05606269836426,0.8400063514709473,105.8960690498352,NVIDIA L40S,3.11.15,2.13.0+cu130,0.28.0+cu130,2.4.6,3.0.5,3.11.1,4653,False,v2,2026-08-23T00:55:11
opt_adam,Adam,optimizer,42,adam,0.001,,0.0005,constant,0,7,0.1,1e-05,batch,128,0.0,False,False,4,20,45000,5000,10000,0.8376,13,0.5646809488296509,0.8331,13,max_val_accuracy,0.9489777777777778,0.82,20,105.5955080986023,0.8031501770019531,106.39865827560425,NVIDIA L40S,3.11.15,2.13.0+cu130,0.28.0+cu130,2.4.6,3.0.5,3.11.1,4653,False,v2,2026-08-23T00:56:58
opt_adam,Adam,optimizer,2026,adam,0.001,,0.0005,constant,0,7,0.1,1e-05,batch,128,0.0,False,False,4,20,45000,5000,10000,0.8328,18,0.6137148483276367,0.8173,18,max_val_accuracy,0.9467555555555556,0.832,20,105.8059983253479,0.7928357124328613,106.59883403778076,NVIDIA L40S,3.11.15,2.13.0+cu130,0.28.0+cu130,2.4.6,3.0.5,3.11.1,4653,False,v2,2026-08-23T00:58:45
opt_adamw,AdamW,optimizer,42,adamw,0.001,,0.0005,constant,0,7,0.1,1e-05,batch,128,0.0,False,False,4,20,45000,5000,10000,0.8378,20,0.8699512286186218,0.8314,20,max_val_accuracy,0.9881777777777778,0.8378,20,105.08587837219238,0.8152172565460205,105.9010956287384,NVIDIA L40S,3.11.15,2.13.0+cu130,0.28.0+cu130,2.4.6,3.0.5,3.11.1,4653,False,v2,2026-08-23T01:00:31
opt_adamw,AdamW,optimizer,2026,adamw,0.001,,0.0005,constant,0,7,0.1,1e-05,batch,128,0.0,False,False,4,20,45000,5000,10000,0.8398,17,0.8103997621536255,0.838,17,max_val_accuracy,0.9897111111111111,0.8238,20,107.61974430084229,0.7968499660491943,108.41659426689148,NVIDIA L40S,3.11.15,2.13.0+cu130,0.28.0+cu130,2.4.6,3.0.5,3.11.1,4653,False,v2,2026-08-23T01:02:19
norm_bn_b8,"BatchNorm, batch 8",normalization,42,sgd_momentum,0.1,0.9,0.0005,constant,0,7,0.1,1e-05,batch,8,0.0,False,False,4,20,45000,5000,10000,0.68,19,0.9566327930450439,0.671,19,max_val_accuracy,0.6611111111111111,0.6306,20,888.8419561386108,0.797996997833252,889.6399531364441,NVIDIA L40S,3.11.15,2.13.0+cu130,0.28.0+cu130,2.4.6,3.0.5,3.11.1,4653,False,v2,2026-08-23T01:17:09
norm_bn_b8,"BatchNorm, batch 8",normalization,2026,sgd_momentum,0.1,0.9,0.0005,constant,0,7,0.1,1e-05,batch,8,0.0,False,False,4,20,45000,5000,10000,0.6834,9,0.9370423614501953,0.676,9,max_val_accuracy,0.6586,0.6464,20,882.3031346797943,0.7949826717376709,883.098117351532,NVIDIA L40S,3.11.15,2.13.0+cu130,0.28.0+cu130,2.4.6,3.0.5,3.11.1,4653,False,v2,2026-08-23T01:31:53
norm_bn_b32,"BatchNorm, batch 32",normalization,42,sgd_momentum,0.1,0.9,0.0005,constant,0,7,0.1,1e-05,batch,32,0.0,False,False,4,20,45000,5000,10000,0.8122,14,0.5630827706336975,0.8075,14,max_val_accuracy,0.8450222222222222,0.8102,20,228.38315081596375,0.7876465320587158,229.17079734802246,NVIDIA L40S,3.11.15,2.13.0+cu130,0.28.0+cu130,2.4.6,3.0.5,3.11.1,4653,False,v2,2026-08-23T01:35:42
norm_bn_b32,"BatchNorm, batch 32",normalization,2026,sgd_momentum,0.1,0.9,0.0005,constant,0,7,0.1,1e-05,batch,32,0.0,False,False,4,20,45000,5000,10000,0.8132,17,0.5767058271408081,0.8029,17,max_val_accuracy,0.8425333333333334,0.775,20,227.73455119132996,0.8234238624572754,228.55797505378723,NVIDIA L40S,3.11.15,2.13.0+cu130,0.28.0+cu130,2.4.6,3.0.5,3.11.1,4653,False,v2,2026-08-23T01:39:31
norm_ln_b8,"LayerNorm, batch 8",normalization,42,sgd_momentum,0.1,0.9,0.0005,constant,0,7,0.1,1e-05,layer,8,0.0,False,False,4,20,45000,5000,10000,0.1048,16,2.3199121055603027,0.1,16,max_val_accuracy,0.09853333333333333,0.099,20,1006.6462388038635,0.8103904724121094,1007.4566292762756,NVIDIA L40S,3.11.15,2.13.0+cu130,0.28.0+cu130,2.4.6,3.0.5,3.11.1,4653,False,v2,2026-08-23T01:56:19
norm_ln_b8,"LayerNorm, batch 8",normalization,2026,sgd_momentum,0.1,0.9,0.0005,constant,0,7,0.1,1e-05,layer,8,0.0,False,False,4,20,45000,5000,10000,0.1048,9,2.312851968383789,0.1,9,max_val_accuracy,0.10068888888888888,0.0988,20,990.1888873577118,0.8062393665313721,990.9951267242432,NVIDIA L40S,3.11.15,2.13.0+cu130,0.28.0+cu130,2.4.6,3.0.5,3.11.1,4653,False,v2,2026-08-23T02:12:50
norm_ln_b32,"LayerNorm, batch 32",normalization,42,sgd_momentum,0.1,0.9,0.0005,constant,0,7,0.1,1e-05,layer,32,0.0,False,False,4,20,45000,5000,10000,0.1048,3,2.3099359870910643,0.1,3,max_val_accuracy,0.10048888888888889,0.1016,20,259.2090950012207,0.8327004909515381,260.04179549217224,NVIDIA L40S,3.11.15,2.13.0+cu130,0.28.0+cu130,2.4.6,3.0.5,3.11.1,4653,False,v2,2026-08-23T02:17:10
norm_ln_b32,"LayerNorm, batch 32",normalization,2026,sgd_momentum,0.1,0.9,0.0005,constant,0,7,0.1,1e-05,layer,32,0.0,False,False,4,20,45000,5000,10000,0.1026,1,2.309302350616455,0.1,1,max_val_accuracy,0.09753333333333333,0.0976,20,254.44355750083923,0.8057162761688232,255.24927377700806,NVIDIA L40S,3.11.15,2.13.0+cu130,0.28.0+cu130,2.4.6,3.0.5,3.11.1,4653,False,v2,2026-08-23T02:21:26
norm_ln_b128,"LayerNorm, batch 128",normalization,42,sgd_momentum,0.1,0.9,0.0005,constant,0,7,0.1,1e-05,layer,128,0.0,False,False,4,20,45000,5000,10000,0.1048,6,2.302793856430054,0.1,6,max_val_accuracy,0.10173333333333333,0.0986,20,122.48859548568726,0.823908805847168,123.31250429153442,NVIDIA L40S,3.11.15,2.13.0+cu130,0.28.0+cu130,2.4.6,3.0.5,3.11.1,4653,False,v2,2026-08-23T02:23:30
norm_ln_b128,"LayerNorm, batch 128",normalization,2026,sgd_momentum,0.1,0.9,0.0005,constant,0,7,0.1,1e-05,layer,128,0.0,False,False,4,20,45000,5000,10000,0.1048,9,2.3067069328308105,0.1,9,max_val_accuracy,0.09915555555555555,0.0998,20,122.00693035125732,0.7868947982788086,122.79382514953613,NVIDIA L40S,3.11.15,2.13.0+cu130,0.28.0+cu130,2.4.6,3.0.5,3.11.1,4653,False,v2,2026-08-23T02:25:33
norm_gn_b8,"GroupNorm, batch 8",normalization,42,sgd_momentum,0.1,0.9,0.0005,constant,0,7,0.1,1e-05,group,8,0.0,False,False,4,20,45000,5000,10000,0.5478,17,1.2948784984588624,0.556,17,max_val_accuracy,0.5553333333333333,0.513,20,931.2887141704559,0.79929518699646,932.0880093574524,NVIDIA L40S,3.11.15,2.13.0+cu130,0.28.0+cu130,2.4.6,3.0.5,3.11.1,4653,False,v2,2026-08-23T02:41:05
norm_gn_b8,"GroupNorm, batch 8",normalization,2026,sgd_momentum,0.1,0.9,0.0005,constant,0,7,0.1,1e-05,group,8,0.0,False,False,4,20,45000,5000,10000,0.534,19,1.3033532592773438,0.5382,19,max_val_accuracy,0.4925777777777778,0.5178,20,931.6623344421387,0.7852749824523926,932.4476094245911,NVIDIA L40S,3.11.15,2.13.0+cu130,0.28.0+cu130,2.4.6,3.0.5,3.11.1,4653,False,v2,2026-08-23T02:56:38
norm_gn_b32,"GroupNorm, batch 32",normalization,42,sgd_momentum,0.1,0.9,0.0005,constant,0,7,0.1,1e-05,group,32,0.0,False,False,4,20,45000,5000,10000,0.751,17,0.757045404624939,0.7431,17,max_val_accuracy,0.7844444444444445,0.7398,20,240.75053215026855,0.8239476680755615,241.57447981834412,NVIDIA L40S,3.11.15,2.13.0+cu130,0.28.0+cu130,2.4.6,3.0.5,3.11.1,4653,False,v2,2026-08-23T03:00:40
norm_gn_b32,"GroupNorm, batch 32",normalization,2026,sgd_momentum,0.1,0.9,0.0005,constant,0,7,0.1,1e-05,group,32,0.0,False,False,4,20,45000,5000,10000,0.7796,19,0.6454001941680908,0.7825,19,max_val_accuracy,0.7888,0.7196,20,245.58208894729614,0.8200385570526123,246.40212750434875,NVIDIA L40S,3.11.15,2.13.0+cu130,0.28.0+cu130,2.4.6,3.0.5,3.11.1,4653,False,v2,2026-08-23T03:04:47
