experiment_id,label,branches,seed,optimizer,lr,momentum,weight_decay,schedule,warmup_epochs,step_size,gamma,min_lr,normalization,batch_size,dropout,augmentation,early_stopping,patience,epochs_budget,best_val_accuracy,best_epoch,final_train_accuracy,final_val_accuracy,epochs_completed,total_seconds,gpu,python_version,torch_version,torchvision_version,numpy_version,pandas_version,matplotlib_version,split_seed,debug,notebook_version,finished_at
sched_constant_warm,Constant + warm-up,schedule,42,sgd_momentum,0.1,0.9,0.0005,constant,2,7,0.1,1e-05,batch,128,0.0,False,False,4,20,0.8184,17,0.9448444444444445,0.7934,20,866.8162376880646,Tesla T4,3.12.13,2.10.0+cu128,0.25.0+cu128,2.0.2,2.3.3,3.10.0,4653,False,v1,2026-08-23T07:23:45
sched_constant_warm,Constant + warm-up,schedule,2026,sgd_momentum,0.1,0.9,0.0005,constant,2,7,0.1,1e-05,batch,128,0.0,False,False,4,20,0.8148,13,0.9420222222222222,0.811,20,904.3463706970215,Tesla T4,3.12.13,2.10.0+cu128,0.25.0+cu128,2.0.2,2.3.3,3.10.0,4653,False,v1,2026-08-23T07:38:49
sched_step,Step decay,schedule,42,sgd_momentum,0.1,0.9,0.0005,step,0,7,0.1,1e-05,batch,128,0.0,False,False,4,20,0.8532,19,0.9998444444444444,0.8532,20,904.3968443870544,Tesla T4,3.12.13,2.10.0+cu128,0.25.0+cu128,2.0.2,2.3.3,3.10.0,4653,False,v1,2026-08-23T07:53:54
sched_step,Step decay,schedule,2026,sgd_momentum,0.1,0.9,0.0005,step,0,7,0.1,1e-05,batch,128,0.0,False,False,4,20,0.8594,13,0.9999333333333333,0.8584,20,910.2006165981293,Tesla T4,3.12.13,2.10.0+cu128,0.25.0+cu128,2.0.2,2.3.3,3.10.0,4653,False,v1,2026-08-23T08:09:04
sched_step_warm,Step decay + warm-up,schedule,42,sgd_momentum,0.1,0.9,0.0005,step,2,7,0.1,1e-05,batch,128,0.0,False,False,4,20,0.8648,15,0.9999555555555556,0.8634,20,908.9531562328339,Tesla T4,3.12.13,2.10.0+cu128,0.25.0+cu128,2.0.2,2.3.3,3.10.0,4653,False,v1,2026-08-23T08:24:13
sched_step_warm,Step decay + warm-up,schedule,2026,sgd_momentum,0.1,0.9,0.0005,step,2,7,0.1,1e-05,batch,128,0.0,False,False,4,20,0.8664,17,0.9999777777777777,0.8656,20,909.4977042675018,Tesla T4,3.12.13,2.10.0+cu128,0.25.0+cu128,2.0.2,2.3.3,3.10.0,4653,False,v1,2026-08-23T08:39:23
sched_cosine,Cosine,schedule,42,sgd_momentum,0.1,0.9,0.0005,cosine,0,7,0.1,1e-05,batch,128,0.0,False,False,4,20,0.8612,18,0.9999777777777777,0.8582,20,913.5005202293396,Tesla T4,3.12.13,2.10.0+cu128,0.25.0+cu128,2.0.2,2.3.3,3.10.0,4653,False,v1,2026-08-23T08:54:37
sched_cosine,Cosine,schedule,2026,sgd_momentum,0.1,0.9,0.0005,cosine,0,7,0.1,1e-05,batch,128,0.0,False,False,4,20,0.8624,16,0.9999777777777777,0.8612,20,911.6778953075409,Tesla T4,3.12.13,2.10.0+cu128,0.25.0+cu128,2.0.2,2.3.3,3.10.0,4653,False,v1,2026-08-23T09:09:49
sched_cosine_warm,Cosine + warm-up,schedule,42,sgd_momentum,0.1,0.9,0.0005,cosine,2,7,0.1,1e-05,batch,128,0.0,False,False,4,20,0.867,17,1.0,0.8662,20,914.1268067359924,Tesla T4,3.12.13,2.10.0+cu128,0.25.0+cu128,2.0.2,2.3.3,3.10.0,4653,False,v1,2026-08-23T09:25:03
sched_cosine_warm,Cosine + warm-up,schedule,2026,sgd_momentum,0.1,0.9,0.0005,cosine,2,7,0.1,1e-05,batch,128,0.0,False,False,4,20,0.8698,15,1.0,0.8686,20,911.466023683548,Tesla T4,3.12.13,2.10.0+cu128,0.25.0+cu128,2.0.2,2.3.3,3.10.0,4653,False,v1,2026-08-23T09:40:15
